Purchase_ID,Purchase Date,Material Name,Category,Grade/Spec,Supplier,Unit,Quantity,Wholesale Rate,Discount,GST,Total Amount,Payment Mode,Invoice No,Remarks
PMT1693,19 Apr 2024,BILTECH AAC BLOCKS 200MM,Masonry,Standard,Siporex Depot,piece,1093,8253.71,0,12,10103861.63,NEFT,INV-2025-1618,Site B allocation
PMT1102,01-04-2025,  Greenlam Interior Flush Doors 30mm IS:2202  ,Wood,Standard,Greenlam Doors Store,piece,492,"6,462.07",5%,18%,3564038.39,,INV-2025-2166,duplicate entry?
PMT2093,07-20-2023,  Concrete Column Cover Blocks 40mm  ,Masonry,,AAC Block Traders,piece,2509.12,3142.8,15,12,7507150.54,Cheque,INV-2023-2209,late delivery
PMT1969,03/08/2023,Coarse Aggregate 10mm Blue Metal,Aggregate,N/A,Krishna Sand & Aggregates,ton,3824.62,9089.2,12.5,5%,,Bank Transfer,INV-2025-7934,Site B allocation
PMT2356,2025-09-03,JSW Neosteel TMT Bars Fe 550D 25MM,Steel,Fe 550D,jsw steel distributor,kg,2800.0,2841.31,7.5%,18,8683611.62,UPI,INV-2023-7242,
PMT2285,2025-08-22,Havells FR Electrical Wires 1.5 sq mm,Electrical,,Havells Electric Store,meter,1590.55,5942.48,0,18,NIL,,INV-2023-1660,Site B allocation
PMT1127,10-10-2023,Berger WeatherCoat Anti-Algal Exterior Paint,Paint,N/A,Nerolac Colour Shop,liter,2544.18,3705.65,12.5,5%,8661828.57,cash,INV-2025-9536,
PMT1164,2023-10-28,Natural Granite Slabs 18mm,Stone,Standard,Marble Palace Traders,sqft,1586.41,-,10,5%,NIL,UPI,INV-2023-5623,Approved by site engineer
PMT1450,01-13-2024,Red Clay Bricks Class 7.5,Masonry,N/A,Bharat Bricks & Blocks,piece,1253,Rs. 1083.14,0%,28%,1737183.26,UPI,INV-2024-7205,Return pending
PMT1406,NIL,GYPROC BY SAINT-GOBAIN GYPSUM BOARDS 12.5MM,,,JK Wall Solutions,board,4549,1036.96,12.5%,18,4870437.8,UPI,INV-2023-6165,duplicate entry?
PMT1740,02-12-2025,prince swr pvc pipes type b 110mm,Plumbing,Standard,finolex pipes distributor,meter,1836,6485.2,0%,5,INR 12502168.56,Cash,INV-2024-5661,Approved by site engineer
PMT1477,18/07/2024,SAINT-GOBAIN CLEAR FLOAT GLASS 6MM,Glass,,Saint-Gobain Glass Depot,sqft,1994.81,"4,884.51",0,12%,10912909.72,Cheque,INV-2025-9947,
PMT1305,10-25-2025,Astral CPVC Pipes SDR 11 25mm,Plumbing,Standard,Finolex Pipes Distributor,meter,N/A,3678.49,5,28,9675596.4,NEFT,INV-2024-3223,Return pending
PMT2370,02-10-2024,FINOLEX UPVC PIPES SCHEDULE 80 50MM,Plumbing,N/A,Finolex Pipes Distributor,meter,1803.54,726.48,12.5%,12%,1284031.02,Cash,INV-2025-1422,Urgent site delivery
PMT1647,22-08-2025,Ambuja Cement OPC 53 Grade,Cement,,Ambuja Direct Depot,BAG,2379.5,4834.19,7.5,5%,11172245.15,,INV-2023-9438,
PMT1090,?,ashirvad upvc drainage pipes schedule 40 110mm,Plumbing,Standard,Finolex Pipes Distributor,meter,2649.51,2543.01,2,28%,8451809.05,,INV-2024-6878,Site B allocation
PMT1380,08-24-2024,ASHIRVAD UPVC DRAINAGE PIPES SCHEDULE 40 110MM,Plumbing,N/A,Astral Plumbing Store,meter,2742.2,2342.16,0%,28,8221019.07,cash,INV-2023-9496,late delivery
PMT2320,09-16-2025,natural granite slabs 18mm,Stone,Standard,Marble Palace Traders,sqft,219,2516.56,0%,28%,705442.1,,INV-2024-5761,Approved by site engineer
PMT1736,28 Feb 2025,Polycab FR Electrical Wires 2.5 sq mm,Electrical,Standard,Legrand Authorised Dealer,METER,2072.05 meter,5101.9,0,28,13531381.63,NEFT,INV-2025-9342,Approved by site engineer
PMT1521,04-08-2024,Plastering Sand (P-Sand) 2.36mm,Aggregate,N/A,Local Quarry Suppliers,ton,4879.05,8966.01,15,12%,INR 41645821.76,NEFT,,duplicate entry?
PMT1895,NIL,Supreme SWR PVC Pipes Type A 75MM,,,Ashirvad Sales Corp,meter,701.85,408.66,10,18%,304600.74,N.A.,INV-2024-8356,Bulk order discount applied
PMT2297,2025-10-25,UltraTech Cement OPC 53 Grade,Cement,OPC 43,UltraTech Dealer Hub,bag,166.23,640.62,7.5%,12,110323.91,,INV-2024-1052,
PMT1288,05-10-2025,Nerolac Beauty Acrylic Interior Paint,Paint,Standard,Asian Paints Dealer,LITER,4858.86 liter,4777.28,12.5%,28,25997590.86,cash,INV-2024-3898,duplicate entry?
PMT1560,09 Aug 2025,orientbell ceramic bathroom tiles 300x600mm,Tiles,Ceramic,Orientbell Depot,box,3481,1715.15,10,12,6018200.65,,INV-2025-6495,Return pending
PMT1652,11.16.2025,jk lakshmi cement opc 43 grade,Cement,OPC 43,UltraTech Dealer Hub,bag,2645.82,?,0%,18,8905416.84,Bank Transfer,INV-2023-7864,late delivery
PMT1351,07 Jun 2024,JSW Neosteel TMT Bars Fe 550D 20mm,Steel,Fe 500D,Tata Steel Authorised Dealer,kg,1729,Rs. 6412.65,7.5,5,10768707.03,cash,INV-2025-3157,Urgent site delivery
PMT2029,02-03-2025,Birla White WallCare Putty 1.5mm,Finishing,Standard,Birla Putty Depot,BAG,3582,4544.93,20,18%,15368262.66,cash,INV-2023-3152,Site B allocation
PMT2188,20-04-2023,Havells FR Electrical Wires 1.0 sq mm,Electrical,N/A,Havells Electric Store,meter,3479.02,4741.46,20%,28%,16891529.39,UPI,INV-2023-2253,
PMT1714,2024-10-23,concrete column cover blocks 40mm,Masonry,N/A,NIL,piece,1819.6,6699.9,10%,,12288667.14,UPI,INV-2024-8396,Approved by site engineer
PMT1441,2025-10-23,Polycab FR Electrical Wires 2.5 sq mm,Electrical,N/A,Legrand Authorised Dealer,meter,1370.86,"7,315.72",20,28%,10269519.79,Bank Transfer,INV-2024-7836,late delivery
PMT1060,28-09-2025,jk wallmaxx wall putty,Finishing,N/A,Birla Putty Depot,bag,2286,7759.06,7.5,5,INR 17227266.34,cash,INV-2023-3218,
PMT1235,01/11/2023,legrand mcb b-curve 16a,Electrical,N/A,Polycab Distributor,piece,4842.08,630.32,15%,12%,2905560.99,CHEQUE,INV-2024-5396,late delivery
PMT2231,01 Mar 2024,  Manufactured Sand (M-Sand) 4.75mm  ,Aggregate,Standard,Local Quarry Suppliers,ton,4843.8,7229.57,0,12,39220822.11,N.A.,INV-2025-8846,Damaged packaging noted
PMT2259,2025-12-31,legrand mcb b-curve 16a,Electrical,N/A,Polycab Distributor,piece,4150.13,3107.61,2,28,16177978.6,Bank Transfer,INV-2025-2027,Urgent site delivery
PMT2318,26-04-2024,centurydoors solid core flush doors 35mm,Wood,,CenturyPly Distributor,piece,4184,596.5,12.5,12%,2445840.88,Cheque,INV-2025-1416,
PMT1994,02/10/2025,Nitco Glazed Ceramic Wall Tiles 300x450mm,Tiles,,Kajaria Tile Gallery,box,4273.2,Rs. 1581.94,12.5,5,6210700.39,CHEQUE,INV-2024-1908,
PMT2307,12-28-2023,GYPROC BY SAINT-GOBAIN GYPSUM BOARDS 12.5MM,Finishing,Standard,Birla Putty Depot,board,3950.33,2754.6,20%,12,9749894.8,RTGS,INV-2023-5462,Site B allocation
PMT2154,07-12-2024,Orientbell Ceramic Bathroom Tiles 300x600mm,Tiles,Ceramic,Kajaria Tile Gallery,box,1228.14,3045.37,10%,28%,4308642.1,CHEQUE,INV-2023-7712,late delivery
PMT1317,2025.02.01,schneider mcb b-curve 32a,Electrical,,Polycab Distributor,piece,575.62 piece,816.42,NA,28%,INR N/A,UPI,INV-2023-6508,late delivery
PMT1395,14-03-2023,CenturyPly Marine Plywood IS:710 19mm,Wood,N/A,CenturyPly Distributor,sheet,1660,Rs. 2932.22,12.5%,18%,5025678.47,Cheque,INV-2024-2940,Approved by site engineer
PMT1174,07 Dec 2025,Plastering Sand (P-Sand) 2.36mm,Aggregate,N/A,GreenBuild Materials,ton,4624,449.43,0,5%,2182072.54,Bank Transfer,INV-2023-9145,Damaged packaging noted
PMT1660,17-04-2025,Havells FR Electrical Wires 1.0 sq mm,Electrical,N/A,Polycab Distributor,NA,3823.58,7559.39,7.5%,12%,29944473.98,Cash,INV-2024-9031,Bulk order discount applied
PMT1371,08/04/2024,ORIENTBELL CERAMIC BATHROOM TILES 300X600MM,Tiles,,Somany World Showroom,box,2955.97,Rs. 3569.7,10,12%,10636341.52,cash,INV-2024-1191,Site B allocation
PMT1675,07-03-2025,Asian Paints Apex WeatherCoat Exterior Paint,Paint,Standard,Berger Paints Store,liter,NIL,9354.7,10,12,3317782.8,Bank Transfer,INV-2024-9294,Approved by site engineer
PMT1330,08-14-2023,legrand mcb b-curve 16a,Electrical,Standard,legrand authorised dealer,piece,4013,6227.03,0,12%,27987759.96,N.A.,INV-2025-5074,
PMT1155,19 Apr 2025,  Birla White WallCare Putty 1.5mm  ,Finishing,N/A,Birla Putty Depot,BAG,3145.03,Rs. 1393.88,null,12%,4541611.02,,INV-2025-3906,late delivery
PMT2087,16-08-2025,Dalmia Cement PPC Grade,Cement,PPC,Balaji Building Supplies,BAG,2109.73,8876.1,7.5,5,18187796.94,,INV-2024-7804,Bulk order discount applied
PMT2035,24/08/2023,Kajaria Double Charged Vitrified Tiles 600x600MM,Tiles,Ceramic,Kajaria Tile Gallery,box,103.51,4673.13,2%,18%,559368.82,UPI,INV-2025-4097,Approved by site engineer
PMT1910,2025-10-06,Nitco Glazed Ceramic Wall Tiles 300x450mm,Tiles,,Somany World Showroom,box,711.16,"1,082.72",10,18,817726.36,N.A.,INV-2025-4378,Damaged packaging noted
PMT1746,02-20-2024,  Orientbell Ceramic Bathroom Tiles 300x600mm  ,Tiles,GVT,Kajaria Tile Gallery,box,628.34,8205.43,12.5%,5,4736891.15,N.A.,INV-2025-4551,Approved by site engineer
PMT1075,03-14-2025,PVC Slab Cover Blocks 20mm,Masonry,Standard,Siporex Depot,piece,3531,Rs. 2911.53,10,28%,11843265.52,Cheque,INV-2025-3733,Bulk order discount applied
PMT2240,02/04/2025,jk lakshmi cement opc 43 grade,Cement,OPC,UltraTech Dealer Hub,bag,2455.61,"4,577.66",0,28%,14388413.02,,INV-2024-2236,late delivery
PMT2185,08-20-2025,Coarse Aggregate 10mm Blue Metal,Aggregate,,-,ton,323.81,7424.17,15,18%,2411232.55,Cheque,INV-2024-2142,
PMT1992,11 Dec 2025,Siporex AAC Blocks 100mm,Masonry,Standard,AAC Block Traders,piece,569.46,5774.41,7.5,12%,3406674.16,Cheque,INV-2024-3369,late delivery
PMT1292,30/03/2024,jsw neosteel tmt bars fe 550d 25mm,Steel,Fe 500D,SRMB Steel Point,kg,1378.45,"4,369.83",0%,18,7107838.75,cash,INV-2023-8971,Damaged packaging noted
PMT1537,01-18-2024,JSW Neosteel TMT Bars Fe 550D 25mm,Steel,,JSW Steel Distributor,NA,null,68.29,,5%,21537.49,Cash,INV-2024-6480,Site B allocation
PMT1982,16 Dec 2024,Shree Cemnt PPC Grade,Cement,OPC,Regional Cement Traders,BAG,1812.44,5861.76,2%,12%,null,UPI,INV-2023-4618,
PMT1410,2024-09-03,plastering sand (p-sand) 2.36mm,Aggregate,Standard,Krishna Sand & Aggregates,?,1152.9,1731.02,7.5%,12,2067537.9,,INV-2023-2272,
PMT1248,10 Dec 2023,Supreme CPVC Pipes SDR 13.5 20MM,Plumbing,N/A,Ashirvad Sales Corp,METER,4769.02,2862.7,10%,28,15727419.13,NEFT,,Site B allocation
PMT1581,2025-08-31,  Ambuja Cement OPC 53 Grade  ,Cement,,Regional Cement Traders,bag,3095.59,6462.1,20%,12,17923594.88,CHEQUE,INV-2023-5734,
PMT2321,02 Aug 2023,Tata Tiscon TMT Bars Fe 500D 12MM,Steel,,JSW Steel Distributor,kg,1748,6513.72,5,5,11357517.6,Bank Transfer,INV-2023-3724,
PMT1493,NIL,Saint-Gobain Clear Float Glass 6MM,Glass,Standard,Saint-Gobain Glass Depot,?,3647.37,5271.68,15,28%,20919811.02,UPI,INV-2025-9426,
PMT2104,27/10/2023,Saint-Gobain Clear Float Glass 6mm,Glass,N/A,Saint-Gobain Glass Depot,sqft,1829,8486.57,7.5%,N/A,18377972.85,N.A.,INV-2023-9922,Damaged packaging noted
PMT1506,12-30-2024,Havells FR Electrical Wires 1.0 sq mm,Electrical,N/A,Legrand Authorised Dealer,METER,1872.13,3987.2,0,5%,7837784.57,Cheque,INV-2025-9186,Return pending
PMT1324,11-20-2024,BILTECH AAC BLOCKS 200MM,,,aac block traders,piece,1778.01,Rs. 4540.35,15%,18,8097006.07,,INV-2024-2587,Site B allocation
PMT1640,01-28-2023,JSW Neosteel TMT Bars Fe 550D 25mm,Steel,Fe 500,JSW Steel Distributor,kg,676.22,9147.85,NA,5%,6170494.23,NEFT,INV-2025-3910,
PMT2203,18 Sep 2025,Polycab FR Electrical Wires 2.5 sq mm,Electrical,Standard,Havells Electric Store,meter,4464.1,564.28,15%,28,2740674.55,,INV-2023-5117,
PMT1615,04-17-2025,Orientbell Ceramic Bathroom Tiles 300x600mm,Tiles,,Somany World Showroom,null,2338,Rs. 9262.56,12.5,12%,21222747.97,RTGS,INV-2025-7869,duplicate entry?
PMT2283,08/08/2023,Concrete Column Cover Blocks 40mm,Masonry,,Bharat Bricks & Blocks,piece,60,Rs. 7914.87,20,18%,448298.24,Cash,,
PMT1466,15/10/2025,Ashirvad UPVC Drainage Pipes Schedule 40 110MM,Plumbing,,Ashirvad Sales Corp,meter,2080,Rs. 1285.29,0,18%,3154615.78,UPI,INV-2023-3282,Damaged packaging noted
PMT1800,15 May 2025,asian paints royale luxury interior emulsion,Paint,N/A,nerolac colour shop,liter,1396.32,"7,896.57",2%,18,12750626.7,N.A.,INV-2025-9004,
PMT1648,06/10/2024,Ambuja Cement OPC 53 Grade,Cement,,Regional Cement Traders,bag,594.15,752.45,10%,5,422479.42,,INV-2023-8775,late delivery
PMT2183,08-09-2025,Tata Tiscon TMT Bars Fe 500D 10MM,Steel,,Tata Steel Authorised Dealer,kg,4310,"2,462.68",15%,18,10645993.25,NEFT,INV-2024-2218,Return pending
PMT1043,30 Mar 2024,Shree Cement PPC Grade,Cement,OPC 53,Balaji Building Supplies,bag,,Rs. 7521.25,0,NA,9340230.47,,INV-2025-7934,Damaged packaging noted
PMT1321,15/04/2025,Greenlam Interior Flush Doors 30MM IS:2202,Wood,N/A,greenlam doors store,piece,1457,6804.06,2%,12%,10881074.52,NEFT,INV-2025-9249,duplicate entry?
PMT2345,12/12/2024,nerolac beauty acrylic interior paint,Paint,,Asian Paints Dealer,liter,4055.75,1205.94,0%,18,5771369.56,Cash,INV-2024-1047,Approved by site engineer
PMT1828,09-10-2023,Siporex AAC Blocks 100mm,Masonry,,Siporex Depot,piece,1601.09,4257.8,10%,18%,7239782.5,Cash,INV-2025-7102,Bulk order discount applied
PMT2298,2025-09-07,Concrete Column Cover Blocks 40mm,Masonry,Standard,Siporex Depot,piece,38,7641.74,0%,12%,325232.45,,INV-2023-9360,Damaged packaging noted
PMT1568,03-02-2025,BILTECH AAC BLOCKS 200MM,Masonry,,Siporex Depot,piece,4416.07,6568.98,20,18%,27384567.28,CHEQUE,INV-2023-8686,duplicate entry?
PMT2340,26/02/2025,Asian Paints Royale Luxury Interior Emulsion,Paint,N/A,Nerolac Colour Shop,LITER,4374.59,2492.42,5%,12,11601127.81,CHEQUE,INV-2023-5696,Return pending
PMT1412,13/07/2024,Somany GVT Vitrified Floor Tiles 800x800mm,Tiles,,Kajaria Tile Gallery,box,330.46 box,"9,243.02",5,N/A,3249933.09,CHEQUE,INV-2023-1722,duplicate entry?
PMT2024,03/09/2025,GREENLAM INTERIOR FLUSH DOORS 30MM IS:2202,Wood,,CenturyPly Distributor,piece,3247,6034.38,0%,12,21944867.68,,INV-2024-7785,Return pending
PMT2365,05 Oct 2023,greenply bwr commercial plywood 12mm,Wood,Standard,CenturyPly Distributor,,2490.94,4858.81,20,5,10166523.51,Bank Transfer,INV-2024-8444,duplicate entry?
PMT2355,11-17-2023,  Siporex AAC Blocks 100mm  ,Masonry,,Siporex Depot,piece,987.77,6803.22,20%,5%,5644813.96,UPI,INV-2025-8900,
PMT1744,12-13-2025,ACC Cement OPC 43 grd,Cement,OPC 43,Balaji Building Supplies,bag,4048.66,9010.15,15,12,INR 34728040.27,RTGS,INV-2025-4614,Approved by site engineer
PMT1323,17/06/2024,BIRLA WHITE WALLCARE PUTTY 1.5MM,Finishing,N/A,JK Wall Solutions,,2882.18,3985.66,null,5,12061759.02,cash,INV-2024-6805,duplicate entry?
PMT1485,11-14-2024,Manufactured Sand (M-Sand) 4.75mm,Aggregate,N/A,Local Quarry Suppliers,ton,1541.36,6928.92,12.5,5%,INR 9812213.37,,INV-2024-3452,Urgent site delivery
PMT1662,07-10-2024,Tata Tiscon TMT Bars Fe 500D 12mm,Steel,,SRMB Steel Point,kg,NIL,3403.8,15,18%,?,UPI,INV-2025-1023,Urgent site delivery
PMT1039,26/04/2023,Tata Wiron Annealed Binding Wire 18 Gauge,Steel,Fe 550D,srmb steel point,kg,1438.95,5519.42,20,28,8132781.47,UPI,INV-2025-2381,
PMT2324,25 May 2024,JSW Neosteel TMT Bars Fe 550D 20mm,Steel,,-,kg,1767.93,6124.61,2%,18%,12521362.46,Bank Transfer,INV-2025-2498,Site B allocation
PMT2373,05.10.2023,Siporex AAC Blocks 100MM,Masonry,N/A,Siporex Depot,piece,3925.55,7301.86,0,18%,33823303.5,CHEQUE,INV-2024-4540,Damaged packaging noted
PMT1900,2024-07-25,Somany GVT Vitrified Floor Tiles 800x800mm,Tiles,Vitrified,somany world showroom,box,1618,"5,477.61",15%,28%,9642697.0,Cash,INV-2024-9980,
PMT1780,29-10-2024,  Prince SWR PVC Pipes Type B 110mm  ,Plumbing,,Ashirvad Sales Corp,meter,3432.69,1953.83,10,18%,7122720.05,cash,INV-2025-4757,
PMT1196,2024-05-15,Prince SWR PVC Pipes Type B 110MM,Plumbing,N/A,Astral Plumbing Store,meter,1528.04 meter,5402.95,20%,28%,8454065.89,NEFT,INV-2024-9138,Site B allocation
PMT1362,04-05-2025,Kajaria Double Charged Vitrified Tiles 600x600MM,Tiles,,Somany World Showroom,box,4875.05 box,2811.15,7.5,12,14197858.69,Cheque,INV-2024-8859,
PMT1847,25 Apr 2025,UltraTech Cement OPC 53 Grade,Cement,,UltraTech Dealer Hub,-,639.81,"3,634.64",10,18%,2469658.72,RTGS,INV-2025-3444,Approved by site engineer
PMT1716,23 Apr 2025,Natural Granite Slabs 18mm,Stone,N/A,Marble Palace Traders,sqft,505,1070.88,2%,12,593575.93,Cheque,INV-2025-4155,late delivery
PMT2092,14 Sep 2024,Asian Paints Royale Luxury Interior Emulsion,Paint,Standard,Asian Paints Dealer,liter,1635.21,Rs. 482.12,0,12%,882971.54,NEFT,INV-2023-5111,
PMT2350,04-05-2024,AMBUJA CEMENT OPC 53 GRADE,Cement,PPC,Balaji Building Supplies,bag,4229.79,6385.65,0,12,30251153.54,N.A.,INV-2024-2976,
PMT2160,10/06/2023,Orientbell Ceramic Bathroom Tiles 300x600MM,Tiles,,Somany World Showroom,box,2757.97,Rs. 3009.71,-,18%,8325591.96,N.A.,INV-2023-6973,Site B allocation
PMT1162,12/06/2024,COARSE AGGREGATE 20MM BLUE METAL,Aggregate,N/A,GreenBuild Materials,ton,1627.18,2692.21,10,18,4652314.3,,INV-2024-4908,Bulk order discount applied
PMT1111,2025-07-25,Gyproc by Saint-Gobain Gypsum Boards 12.5MM,Finishing,,jk wall solutions,board,3362,Rs. 9157.16,10,12,31032662.9,,INV-2025-6273,Approved by site engineer
PMT1044,25-07-2025,jk lakshmi cement opc 43 grade,Cement,OPC,UltraTech Dealer Hub,bag,3594 bag,6353.02,15,5%,20378232.84,RTGS,INV-2025-1266,Site B allocation
PMT1808,2024-10-05,Plastering Sand (P-Sand) 2.36mm,Aggregate,,Krishna Sand & Aggregates,ton,93.18,5685.18,10%,18,562589.27,NEFT,INV-2025-5947,
PMT1816,23 Nov 2025,Legrand MCB B-Curve 16A,Electrical,N/A,Havells Electric Store,piece,1115,7563.59,20,18,7961132.29,cash,INV-2024-1543,
PMT1999,02-01-2025,DALMIA CEMENT PPC GRADE,Cement,OPC 53,UltraTech Dealer Hub,bag,431,"3,802.93",10%,18%,1740684.73,UPI,INV-2025-1202,late delivery
PMT1792,20/11/2025,tata tiscon tmt bars fe 500d 8mm,Steel,Fe 500,Kumar Steel Traders,kg,3620,,5%,5,NIL,,INV-2025-5965,Site B allocation
PMT1160,28-09-2024,FINOLEX PVC CONDUIT PIPES 25MM,Electrical,N/A,Havells Electric Store,meter,?,Rs. 3058.55,12.5,-,1558637.08,N.A.,INV-2024-6218,Return pending
PMT2353,10 Feb 2024,Polycab FR Electrical Wires 4.0 sq mm,Electrical,,Polycab Distributor,meter,2863.08,2867.38,0,12,9194682.93,Bank Transfer,INV-2023-9193,Bulk order discount applied
PMT1012,08-28-2024,Prince SWR PVC Pipes Type B 110MM,,Standard,Finolex Pipes Distributor,meter,N/A,5769.18,15%,12,16913412.7,Bank Transfer,INV-2023-6085,Bulk order discount applied
PMT1670,02/08/2024,finolex pvc conduit pipes 25mm,Electrical,Standard,Havells Electric Store,?,751.29,3888.57,null,12,2944815.31,UPI,INV-2023-6996,Urgent site delivery
PMT1524,25-10-2024,UltraTech Cement OPC 53 Grade,Cement,OPC 43,Regional Cement Traders,bag,2616,Rs. 2805.5,20%,28,7515328.51,N.A.,INV-2025-2938,late delivery
PMT1086,20/01/2023,Astral CPVC Pipes SDR 11 25mm,Plumbing,,Ashirvad Sales Corp,meter,2651,897.36,7.5%,5,2310507.95,Cash,INV-2024-3141,Site B allocation
PMT1120,11-03-2024,PVC Slab Cover Blocks 20mm,Masonry,N/A,Bharat Bricks & Blocks,piece,1585.08 piece,"4,151.64",12.5%,18%,6794553.68,RTGS,INV-2023-9824,
PMT2144,11/01/2024,Precision Heavy-Duty PVC Conduit Pipes 20mm,Electrical,,Legrand Authorised Dealer,meter,4879.89,2835.94,7.5%,28%,16385465.09,RTGS,INV-2023-4850,
PMT2368,31-10-2025,Berger WeatherCoat Anti-Algal Exterior Paint,Paint,N/A,Berger Paints Store,LITER,1561,NA,20,5%,2646174.11,Bank Transfer,INV-2025-6087,Damaged packaging noted
PMT2172,2024-05-23,Tata Tiscon TMT Bars Fe 500D 8mm,Steel,Fe 550D,JSW Steel Distributor,kg,631.24,8660.78,5,28,6647909.41,,INV-2024-5398,Urgent site delivery
PMT2141,02-24-2025,  CenturyPly Marine Plywood IS:710 19mm  ,Wood,,CenturyPly Distributor,sheet,1704,3878.26,12.5,28,7401581.64,,INV-2025-8119,Urgent site delivery
PMT1167,31-12-2025,JK Lakshmi Cement OPC 43 Grade,Cement,,Balaji Building Supplies,bag,1767.81,2899.11,20%,18,4838071.41,N.A.,INV-2023-5552,Return pending
PMT1286,10 Jan 2025,JK Lakshmi Cement OPC 43 Grade,Cement,PPC,Ambuja Direct Depot,BAG,3419,2844.72,5%,28%,11826934.78,cash,INV-2024-8790,Approved by site engineer
PMT1991,01/04/2025,Nerolac Beauty Acrylic Interior Paint,Paint,Standard,Berger Paints Store,liter,2975.16,1431.08,2%,28,5340848.81,UPI,INV-2023-1798,Approved by site engineer
PMT1242,06/09/2023,Prince SWR PVC Pipes Type B 110mm,Plumbing,Standard,Finolex Pipes Distributor,meter,1040 meter,N/A,0,28%,4359134.21,CHEQUE,INV-2023-8713,Bulk order discount applied
PMT1374,04 Dec 2025,finolex upvc pipes schedule 80 50mm,Plumbing,,Astral Plumbing Store,meter,378.98,648.74,0,12%,275362.62,NEFT,INV-2024-2155,Bulk order discount applied
PMT1726,14 Jun 2023,Asian Paints Apex WeatherCoat Exterior Paint,Paint,N/A,Berger Paints Store,-,1726.28,Rs. 1533.75,15%,5%,2363056.14,,,
PMT1867,17-09-2024,AIS Toughened Window Glass 8mm,Glass,,AIS Glass Traders,NIL,326,5199.46,0%,28%,2169630.67,Cheque,INV-2025-1058,Urgent site delivery
PMT1103,03 Sep 2024,JK WallMaxX Wall Putty,Finishing,,Birla Putty Depot,bag,4936.02,781.5,0%,12,4320399.59,Cheque,INV-2025-8105,Approved by site engineer
PMT1334,2023-09-06,JSW Neosteel TMT Bars Fe 550D 20mm,Steel,Fe 500,tata steel authorised dealer,kg,857.76,2829.68,5,18,2720875.86,,INV-2025-7082,
PMT1635,04 Jun 2023,  Polycab FR Electrical Wires 4.0 sq mm  ,Electrical,N/A,Polycab Distributor,meter,1922.73,"3,257.90",10%,5%,5919538.65,RTGS,INV-2024-6218,
PMT1546,2024-04-05,Supreme CPVC Pipes SDR 13.5 20mm,Plumbing,Standard,Astral Plumbing Store,meter,398.03,6832.51,20,28%,2784813.01,,INV-2024-4266,Approved by site engineer
PMT1208,07 Sep 2023,JK WallMaxX Wall Putty,Finishing,N/A,Birla Putty Depot,bag,409.91,70.06,7.5,12%,29752.15,Cash,INV-2025-2158,Approved by site engineer
PMT1454,2023-10-08,DALMIA CEMENT PPC GRADE,Cement,PPC,Balaji Building Supplies,bag,367.66,Rs. 2087.19,10%,28,884017.47,Bank Transfer,INV-2024-9796,
PMT1822,20 Dec 2024,Havells FR Electrical Wires 1.0 sq MM,Electrical,N/A,Legrand Authorised Dealer,meter,1940.07,7206.64,10,28%,16106556.75,Cheque,INV-2025-7680,Bulk order discount applied
PMT1651,12 Jan 2023,Precision Heavy-Duty PVC Conduit Pipes 20mm,Electrical,,Polycab Distributor,meter,1721.98,3615.64,0,5%,INR 6537362.76,CHEQUE,INV-2023-3557,
PMT1028,24/07/2025,Supreme SWR PVC Pipes Type A 75mm,Plumbing,N/A,Finolex Pipes Distributor,meter,?,5382.84,20,18,9136358.93,NEFT,INV-2025-5106,
PMT1094,10/07/2023,Schneider MCB B-Curve 32A,Electrical,N/A,Polycab Distributor,piece,3269.91,3897.02,5%,28,15495372.08,cash,INV-2023-5825,late delivery
PMT1525,2025-05-28,Ambuja Cement OPC 53 Grade,Cement,OPC 53,-,bag,1187,4326.43,0%,-,5392246.03,Bank Transfer,INV-2024-6918,Urgent site delivery
PMT1196,2024-05-15,Prince SWR PVC Pipes Type B 110MM,Plumbing,N/A,Astral Plumbing Store,meter,1528.04 meter,5402.95,20%,28%,8454065.89,NEFT,INV-2024-9138,Site B allocation
PMT2317,10 Jan 2024,kajaria double charged vitrified tiles 600x600mm,Tiles,Vitrified,Orientbell Depot,NIL,536.45,3678.64,7.5%,5%,1916670.99,cash,INV-2024-5387,duplicate entry?
PMT1110,09-15-2024,UltraTech Cement OPC 53 Grade,Cement,,Balaji Building Supplies,bag,276,"6,248.23",2%,18,1994225.08,CHEQUE,INV-2023-7704,Damaged packaging noted
PMT2279,27-08-2024,Biltech AAC Blocks 200mm,Masonry,,AAC Block Traders,piece,2347.73,-,0%,5,20230027.86,UPI,INV-2024-5166,Bulk order discount applied
PMT1308,09-05-2023,ultratech cement opc 53 grade,Cement,OPC 53,balaji building supplies,bag,1956.62,8055.7,20%,5%,13240032.74,N.A.,INV-2023-8801,
PMT1636,18-10-2023,Red Clay Bricks Class 7.5,Masonry,N/A,Siporex Depot,piece,27.52,Rs. 1318.51,7.5,18%,39605.51,Bank Transfer,INV-2025-2721,
PMT1101,03-09-2024,Nitco Glazed Ceramic Wall Tiles 300x450mm,Tiles,GVT,Somany World Showroom,box,1309.43,8548.53,7.5,28,13253342.74,Cash,INV-2025-4111,
PMT1148,06-13-2024,Legrand MCB B-Curve 16A,Electrical,,Havells Electric Store,PIECE,1886.15,6621.56,0%,?,14737321.36,cash,INV-2025-2631,late delivery
